execution_id,campaign_id,hardware_epoch,placement,replica,result_id,case_id,sequence_index,phase,run_id,simulator_name,simulator_version,distribution_version,simulator_commit,adapter,qubits,depth,seed,threads_requested,threads_effective,cpu_set,status,execution_seconds,compile_seconds,sample_seconds,peak_rss_bytes,error_type,error_message,cpu_model,instance_type,image_id,boot_id
qv-multicore-v1-2026082,qv-multicore-v1,aws-c8i-8xlarge-ubuntu2404-v1,1,1,4da543ee-7b30-47b3-a058-f6720f4deb05,clifft-0.9.0-current--q6-seed42-t16,0,current-tools,clifft-0.9.0-current,Clifft,0.9.0,0.9.0,87175b513b8d944955102230b9c7931be1570ef2,clifft,6,6,42,16,16,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15",success,0.0008510369999612521,0.0007846879999533485,6.634900000790367e-05,33976320,,,Intel(R) Xeon(R) 6975P-C,c8i.8xlarge,ami-0f8a61b66d1accaee,f9811930-82aa-4e3e-a686-48611cf5212d
qv-multicore-v1-2026082,qv-multicore-v1,aws-c8i-8xlarge-ubuntu2404-v1,1,1,4da543ee-7b30-47b3-a058-f6720f4deb05,qiskit-aer-current--q6-seed42-t16,1,current-tools,qiskit-aer-current,Qiskit Aer,0.17.2,0.17.2,,qiskit,6,6,42,16,,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15",success,0.0021187709999708204,0.0,0.0,110276608,,,Intel(R) Xeon(R) 6975P-C,c8i.8xlarge,ami-0f8a61b66d1accaee,f9811930-82aa-4e3e-a686-48611cf5212d
qv-multicore-v1-2026082,qv-multicore-v1,aws-c8i-8xlarge-ubuntu2404-v1,1,1,4da543ee-7b30-47b3-a058-f6720f4deb05,qulacs-current--q6-seed42-t16,2,current-tools,qulacs-current,Qulacs,0.6.14,0.6.14,,qulacs,6,6,42,16,,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15",success,0.00010864099999707832,0.0,0.0,27885568,,,Intel(R) Xeon(R) 6975P-C,c8i.8xlarge,ami-0f8a61b66d1accaee,f9811930-82aa-4e3e-a686-48611cf5212d
qv-multicore-v1-2026082,qv-multicore-v1,aws-c8i-8xlarge-ubuntu2404-v1,1,1,4da543ee-7b30-47b3-a058-f6720f4deb05,qsim-current--q6-seed42-t16,3,current-tools,qsim-current,qsim,0.22.0,0.22.0,,qsim,6,6,42,16,16,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15",success,0.016294522000009692,0.0,0.0,194306048,,,Intel(R) Xeon(R) 6975P-C,c8i.8xlarge,ami-0f8a61b66d1accaee,f9811930-82aa-4e3e-a686-48611cf5212d
qv-multicore-v1-2026082,qv-multicore-v1,aws-c8i-8xlarge-ubuntu2404-v1,1,1,4da543ee-7b30-47b3-a058-f6720f4deb05,qrack-current--q6-seed42-t16,4,current-tools,qrack-current,Qrack,1.10.0,1.10.0,,qrack,6,6,42,16,,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15",success,0.002197953999996116,0.0,0.0,289079296,,,Intel(R) Xeon(R) 6975P-C,c8i.8xlarge,ami-0f8a61b66d1accaee,f9811930-82aa-4e3e-a686-48611cf5212d
qv-multicore-v1-2026082,qv-multicore-v1,aws-c8i-8xlarge-ubuntu2404-v1,1,1,4da543ee-7b30-47b3-a058-f6720f4deb05,qrack-current--q6-seed43-t16,5,current-tools,qrack-current,Qrack,1.10.0,1.10.0,,qrack,6,6,43,16,,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15",success,0.0021911299999715084,0.0,0.0,289607680,,,Intel(R) Xeon(R) 6975P-C,c8i.8xlarge,ami-0f8a61b66d1accaee,f9811930-82aa-4e3e-a686-48611cf5212d
qv-multicore-v1-2026082,qv-multicore-v1,aws-c8i-8xlarge-ubuntu2404-v1,1,1,4da543ee-7b30-47b3-a058-f6720f4deb05,qsim-current--q6-seed43-t16,6,current-tools,qsim-current,qsim,0.22.0,0.22.0,,qsim,6,6,43,16,16,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15",success,0.01623800800001618,0.0,0.0,194387968,,,Intel(R) Xeon(R) 6975P-C,c8i.8xlarge,ami-0f8a61b66d1accaee,f9811930-82aa-4e3e-a686-48611cf5212d
qv-multicore-v1-2026082,qv-multicore-v1,aws-c8i-8xlarge-ubuntu2404-v1,1,1,4da543ee-7b30-47b3-a058-f6720f4deb05,qulacs-current--q6-seed43-t16,7,current-tools,qulacs-current,Qulacs,0.6.14,0.6.14,,qulacs,6,6,43,16,,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15",success,0.00013284300001714655,0.0,0.0,27951104,,,Intel(R) Xeon(R) 6975P-C,c8i.8xlarge,ami-0f8a61b66d1accaee,f9811930-82aa-4e3e-a686-48611cf5212d
qv-multicore-v1-2026082,qv-multicore-v1,aws-c8i-8xlarge-ubuntu2404-v1,1,1,4da543ee-7b30-47b3-a058-f6720f4deb05,qiskit-aer-current--q6-seed43-t16,8,current-tools,qiskit-aer-current,Qiskit Aer,0.17.2,0.17.2,,qiskit,6,6,43,16,,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15",success,0.0029474539999796434,0.0,0.0,107970560,,,Intel(R) Xeon(R) 6975P-C,c8i.8xlarge,ami-0f8a61b66d1accaee,f9811930-82aa-4e3e-a686-48611cf5212d
qv-multicore-v1-2026082,qv-multicore-v1,aws-c8i-8xlarge-ubuntu2404-v1,1,1,4da543ee-7b30-47b3-a058-f6720f4deb05,clifft-0.9.0-current--q6-seed43-t16,9,current-tools,clifft-0.9.0-current,Clifft,0.9.0,0.9.0,87175b513b8d944955102230b9c7931be1570ef2,clifft,6,6,43,16,16,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15",success,0.0037298699999723794,0.003661013999987972,6.885599998440739e-05,33599488,,,Intel(R) Xeon(R) 6975P-C,c8i.8xlarge,ami-0f8a61b66d1accaee,f9811930-82aa-4e3e-a686-48611cf5212d
